ID,Item,BQ,Vol,ED,REF
01,ALB,0001,0400,1223,4001010LR
02,BT,0000,2500,1221,BB1245
03,BD,0000,2500,1221,BB1245
04,CRE,0000,0080,1123,4001619LB
05,GLU,0000,0400,1123,4001320LR
06,CHOL,0000,0400,1023,4001210LR
07,HDL,0000,2500,1221,BB1245
08,LDL,0000,0160,0123,BB1245
09,TP,0000,0400,1123,4001949LR
10,TG,0000,2500,1221,BB1245
11,UREA,0000,0200,1123,4001520LR
12,UA,0000,0500,1221,BB1245
13,ALP,0000,0200,0923,BB1245
14,ALT,0000,0200,0923,4001755LR
15,AST,0000,0200,1023,4001785LR
16,AMY,0000,2500,1221,BB1245
17,CK,0000,2500,1221,BB1245
18,CKMB,0000,2500,1221,BB1245
19,GGT,0000,2500,1221,BB1245
20,LDH,0000,2500,1221,BB1245
21,LIP,0000,2500,1221,BB1245
22,Ca,0000,0200,0324,4001650LR
23,Cl,0000,2500,1221,BB1245
24,K,0000,2500,1221,BB1245
25,Na,0000,2500,1221,BB1245
26,Fe,0000,0100,0723,BB1245
27,Mg,0000,0200,1023,4001641LR
28,P,0000,0200,1223,4001631LR
29,Zn,0000,2500,1221,BB1245
30,Cu,0000,2500,1221,BB1245
31,TRF,0000,2500,1221,BB1245
32,MgUV,0000,2500,1221,BB1245
33,RF,0000,2500,1221,BB1245
34,CRP,0000,2500,1221,BB1245
35,CHE,0000,2500,1221,BB1245
36,UTP,0000,2500,1221,BB1245
37,LAC,0000,2500,1221,BB1245
38,AM,0000,2500,1221,BB1245
39,HbA1,0000,2500,1221,BB1245
40,ASO,0000,2500,1221,BB1245
41,BA,0000,2500,1221,BB1245
42,FRU,0000,2500,1221,BB1245